"case_num","case_id","system","library","loss","policy","n","mse_mean","mse_sd","mse_se","distance_mean","distance_sd","distance_se","min_eig_mean","min_eig_sd","min_eig_se"
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",57,0.021150150267849,0.0166695194583381,0.00962415154653323,0.274880980700456,0.116454159568595,0.0672348403751801,0.00624763602191169,0.00908916924131083,0.00524763430818087
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",58,0.0245839028485131,0.0202002221198859,0.0116626036786064,0.293856619823151,0.134074037644306,0.07740768172528,0.00528650726358294,0.00742444836753869,0.00428650726358294
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",59,0.0245353777381246,0.0171443629765131,0.00989830257957447,0.298101574935373,0.11796373578487,0.0681063946100089,0.00846587929935825,0.0129312810776291,0.00746587861113585
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",60,0.0274570465155475,0.0155707218565539,0.00898976045535817,0.322237264159237,0.0947997757066989,0.0547326760233788,0.00687853728899573,0.0101819248751808,0.00587853706755417
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",61,0.0245087359203436,0.011872177306101,0.00685440476354438,0.306416808980987,0.0788385964038266,0.0455174848562816,0.00793499301480864,0.0120117595699157,0.00693499262113191
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",62,0.0268421961201434,0.0145901342123833,0.00842361791503226,0.319338498058009,0.0899308746090195,0.0519216146639759,0.00716264396712096,0.0106740113747008,0.00616264334051661
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",63,0.0251946838493464,0.0165660604051689,0.00956441943433588,0.304674551408973,0.109216435034706,0.063056138167219,0.00648319897457346,0.00949717840551322,0.00548319850896496
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",64,0.0261372075432194,0.016834766630331,0.00971955704576612,0.309769795146573,0.113522051961687,0.0655419872590386,0.00586251916098539,0.00842213023515685,0.00486251915841789
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",65,0.028055804281394,0.0197874589847514,0.0114242947714249,0.318917650713413,0.125587116311828,0.0725077554093828,0.0047836202010442,0.00655342231774172,0.00378362013926148
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",66,0.0241810822847637,0.016331612242027,0.00942906072423489,0.297543008666571,0.110854547489264,0.0640019028338209,0.00606440752428184,0.00877181006460538,0.00506440690208019
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",67,0.0233720974999086,0.0177336390826947,0.0102385212981055,0.287043946316984,0.129000946987263,0.0744787314688127,0.00711510567072452,0.00682850934432026,0.00394244170810718
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",68,0.0215530318018646,0.0144996870131549,0.00837139820021032,0.279338233216423,0.110785459363936,0.0639620147860647,0.00735443811739683,0.00810226732897814,0.00467784622343184
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",69,0.0188203499129172,0.0121472731459569,0.00701323142073814,0.262407131607314,0.0981623420662715,0.056674054616246,0.00636892742156822,0.00926297858643271,0.00534798318037467
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",70,0.0177699982304248,0.00993051047495388,0.00573338289590502,0.257935123528935,0.0826087008596458,0.0476941556787218,0.00619194516986427,0.00899270691709895,0.00519194175933049
1,"1q_L1_frobenius","1q","L1","frobenius","uniform",71,0.0170271543738125,0.0080838822896456,0.00466723161602414,0.25496537895945,0.0682049084815125,0.039378122271855,0.00575691550264179,0.0082392136610703,0.00475691222512978
