"alpha","alpha_name","case_num","case_id","system","library","loss","policy","n_step","n_eff","mean_scaled_proxy","se_scaled_proxy","mean_scaled_mse","mean_scaled_fro_sq","mean_scaled_bures_sq"
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",24,2400,3.12445594501914,0.00409991012378708,0.169767437472474,0.679069749889898,0.934543973328505
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",25,2500,3.12428284430566,0.00425938408733306,0.118389740321767,0.473558961287067,0.794863326490647
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",26,2600,3.11812261168581,0,0.132973817226033,0.531895268904134,0.386274268433273
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",27,2700,3.11532313171569,0,0.15905464629889,0.636218585195558,0.441967244909358
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",28,2800,3.11906613318194,0,0.128400525359457,0.513602101437827,0.504903949075786
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",29,2900,3.12153604016468,0.000923172789018878,0.15816978077784,0.632679123111362,0.632533371346833
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",30,3000,3.11649385666057,0,0.17442991987234,0.697719679489359,0.660183861264207
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",31,3100,3.11737640667102,0,0.263159966755241,1.05263986702096,0.935265513399297
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",32,3200,3.11537283335437,0,0.361399160203799,1.4455966408152,1.13602467050455
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",33,3300,3.12025251659228,0.000301478254637999,0.363297943641884,1.45319177456754,1.0433487501513
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",34,3400,3.12030801333106,0.000780402458710139,0.372711891751255,1.49084756700502,1.06843988974918
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",35,3500,3.11512457680298,0,0.412615166957243,1.65046066782897,1.15655155957528
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",36,3600,3.11789464187883,0.0005192085470902,0.400117387617616,1.60046955047046,1.24446782780145
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",37,3700,3.1158739572735,0,0.358632494679314,1.43452997871726,1.22254446762547
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",38,3800,3.1192267539325,0.00169334633037166,0.506445251904896,2.02578100761958,1.73264529443129
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",39,3900,3.11996109413569,0.00163733370193353,0.480031553175278,1.92012621270111,1.73958241287313
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","exact",40,4000,3.11474114019058,0,0.595724283915012,2.38289713566005,1.84236765896495
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",1,100,Inf,NA,10.374954479501,41.499817918004,30.7969304534655
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",2,200,Inf,NA,17.9179963526022,71.6719854104086,51.7652144929264
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",3,300,3.285,0,1.13552786763165,4.54211147052658,3.7783443815676
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",4,400,3.38,0,0.726562381945361,2.90624952778145,2.5075701016386
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",5,500,3.128542228393,0,0.331952532013971,1.32781012805588,1.12336404052621
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",6,600,3.285,0,0.503391830677855,2.01356732271142,2.29909165558166
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",7,700,3.24916666666667,0,0.418147809436461,1.67259123774584,2.29973491368964
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",8,800,3.12855585514293,0,0.646244689040552,2.58497875616221,3.75570634945692
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",9,900,3.1446253370358,0,0.607671366236111,2.43068546494444,3.84739350516378
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",10,1000,3.18093778086317,0.052395552470168,0.609461973141287,2.43784789256515,3.82993691283862
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",11,1100,3.15463215041077,0,0.737840333172948,2.95136133269179,4.41856571861249
0.9,"Case II",1,"1q_L1_frobenius","1q","L1","frobenius","GI1",12,1200,3.1414168913572,0,0.738607908825006,2.95443163530003,4.6687343406894
